ID compra,ID cliente,Programa de cashback,Idade,Sexo biológico,Avaliação da compra
83,8576,Sim,34,Feminino,10
89,3242,Sim,27,Feminino,9
85,5974,Sim,33,Feminino,9
90,1772,Não,50,Feminino,9
80,7139,Não,48,Feminino,10
87,1059,Não,57,Masculino,9
81,1094,Não,39,Masculino,10
84,9588,Não,40,Feminino,10
86,4948,Não,55,Feminino,10
97,8432,Sim,35,Masculino,0
93,3952,Sim,31,Masculino,10
99,5238,Não,45,Feminino,10
94,4153,Não,38,Feminino,10
98,1885,Não,52,Feminino,10
96,2686,Sim,34,Masculino,10
92,3320,Sim,24,Feminino,8
91,7183,Sim,36,Masculino,10
95,3183,Não,51,Masculino,9
106,9154,Sim,39,Feminino,10
107,7553,Sim,26,Feminino,9
108,6447,Sim,35,Feminino,10
102,3897,Sim,40,Masculino,9
101,4420,Sim,39,Masculino,9
105,5964,Não,19,Feminino,9
111,5602,Não,23,Masculino,10
109,4421,Sim,28,Masculino,9
103,6010,Sim,35,Masculino,10
110,5354,Sim,28,Feminino,10
104,5465,Não,26,Feminino,10
100,3289,Sim,39,Masculino,10
120,8299,Não,42,Masculino,9
114,3823,Não,45,Masculino,10
116,7459,Não,33,Masculino,10
118,3890,Sim,26,Feminino,10
119,7813,Não,50,Masculino,9
121,7813,Não,50,Masculino,10
117,2995,Não,54,Feminino,10
113,1338,Não,31,Masculino,6
115,9165,Sim,36,Feminino,9
112,9768,Não,41,Feminino,10
131,5222,Não,56,Feminino,10
127,5247,Não,47,Masculino,10
126,9629,Não,26,Masculino,9
128,4982,Sim,33,Masculino,9
125,3158,Sim,39,Feminino,9
122,6344,Sim,25,Masculino,10
129,5980,Sim,37,Feminino,9
124,5981,Sim,29,Masculino,7
123,4111,Não,41,Feminino,9
130,9074,Não,38,Masculino,10
133,8066,Sim,40,Feminino,10
140,6447,Sim,35,Feminino,9
137,9665,Não,50,Masculino,10
132,8585,Sim,36,Masculino,10
134,6377,Não,43,Masculino,10
139,6875,Não,29,Feminino,10
135,1552,Sim,39,Masculino,9
136,8989,Sim,38,Masculino,8
138,1809,Sim,39,Masculino,10
143,3129,Não,48,Masculino,10
147,6228,Não,57,Masculino,9
144,5142,Não,44,Masculino,9
145,4230,Não,33,Masculino,9
149,8456,Não,32,Feminino,10
141,2307,Sim,26,Masculino,10
142,2943,Sim,21,Feminino,9
146,8682,Não,35,Feminino,9
148,1567,Não,38,Feminino,10
157,4158,Não,27,Feminino,9
156,8280,Sim,30,Masculino,10
155,9487,Não,25,Masculino,9
150,8016,Sim,28,Feminino,9
158,1948,Sim,32,Feminino,6
151,9905,Sim,25,Masculino,10
153,6455,Não,58,Feminino,10
154,6770,Sim,31,Feminino,9
152,6064,Sim,37,Feminino,10
167,5686,Não,60,Masculino,9
166,8799,Não,45,Feminino,9
162,7786,Não,49,Feminino,9
168,8925,Não,40,Masculino,10
165,4093,Não,53,Masculino,3
159,8145,Sim,29,Feminino,9
164,7516,Não,55,Masculino,10
160,1210,Não,41,Masculino,9
163,4248,Sim,20,Masculino,9
161,6086,Não,35,Masculino,2
174,8813,Sim,30,Feminino,6
173,8411,Sim,33,Masculino,10
169,5286,Não,45,Masculino,9
170,2792,Não,60,Masculino,9
175,9736,Não,45,Masculino,9
171,3217,Não,27,Masculino,10
172,5463,Não,45,Masculino,9
176,4178,Não,28,Feminino,9
181,9697,Sim,30,Feminino,9
177,4079,Sim,34,Masculino,9
183,5768,Sim,35,Masculino,10
180,3945,Não,45,Feminino,9
182,9316,Não,42,Feminino,9
178,2714,Não,43,Masculino,9
185,2226,Não,62,Masculino,10
184,1213,Sim,28,Masculino,9
179,8209,Sim,29,Feminino,9
186,4997,Não,49,Masculino,10
188,7165,Não,50,Feminino,9
196,6431,Não,27,Masculino,9
194,1217,Não,40,Feminino,10
195,7799,Sim,22,Feminino,10
187,9795,Não,45,Feminino,10
192,4335,Não,45,Masculino,10
189,2292,Não,62,Feminino,9
191,1052,Não,48,Feminino,10
197,9907,Sim,28,Masculino,10
190,4239,Não,49,Feminino,9
198,9923,Não,48,Masculino,9
193,9483,Não,46,Feminino,10
199,5531,Sim,25,Masculino,10
202,9240,Não,46,Masculino,10
205,6452,Sim,34,Feminino,9
207,2076,Não,42,Masculino,10
200,5512,Sim,29,Feminino,9
201,1603,Não,47,Feminino,10
206,8448,Não,45,Masculino,10
204,5695,Sim,37,Feminino,9
203,8590,Não,48,Feminino,10
208,1063,Sim,27,Masculino,9
212,9097,Sim,34,Masculino,10
211,4176,Sim,36,Masculino,9
220,8260,Não,42,Feminino,9
215,2786,Sim,32,Masculino,2
213,7014,Sim,38,Masculino,1
210,7394,Não,44,Masculino,9
217,3522,Sim,34,Feminino,10
216,1998,Não,43,Masculino,5
209,4404,Não,27,Masculino,9
219,5039,Não,29,Masculino,9
218,6938,Sim,33,Masculino,9
214,9738,Não,35,Masculino,9
224,2750,Não,41,Masculino,10
228,2653,Sim,28,Masculino,3
225,7868,Não,48,Feminino,10
227,7023,Não,49,Masculino,9
229,7443,Não,45,Feminino,9
222,9524,Não,33,Feminino,10
223,2481,Sim,34,Feminino,9
226,7790,Não,29,Feminino,9
221,6501,Não,42,Feminino,9
240,6690,Não,26,Feminino,10
234,1515,Não,44,Feminino,5
232,3532,Não,24,Masculino,9
241,5877,Sim,32,Feminino,10
233,1464,Não,41,Masculino,9
238,2921,Sim,36,Feminino,9
236,4305,Sim,36,Feminino,9
230,5954,Sim,28,Feminino,9
231,8279,Sim,40,Feminino,9
237,7659,Sim,39,Masculino,9
235,6990,Não,25,Masculino,10
239,8339,Não,40,Feminino,10
245,6618,Não,48,Masculino,3
246,3258,Não,50,Masculino,9
244,7022,Não,52,Masculino,7
249,4896,Não,31,Feminino,10
250,8034,Não,35,Feminino,10
252,9310,Sim,38,Feminino,10
251,6475,Não,55,Feminino,10
247,1799,Sim,31,Feminino,9
248,7295,Sim,30,Feminino,9
242,3924,Sim,39,Feminino,9
243,9279,Não,43,Feminino,10
258,7748,Não,46,Feminino,10
254,9535,Não,40,Masculino,9
257,5832,Não,47,Feminino,10
259,7745,Não,44,Masculino,9
255,5529,Não,48,Feminino,9
253,7127,Não,38,Feminino,9
260,5015,Não,33,Feminino,6
256,8327,Sim,25,Feminino,10
267,7077,Não,48,Feminino,9
263,9684,Não,49,Feminino,9
261,3648,Não,39,Feminino,5
264,2720,Não,43,Feminino,9
266,2573,Sim,23,Masculino,9
268,9423,Sim,37,Masculino,10
265,6998,Sim,27,Feminino,2
262,9219,Não,48,Feminino,9
272,6307,Não,18,Masculino,10
270,9127,Não,44,Feminino,9
275,1152,Não,25,Masculino,9
269,7292,Não,48,Masculino,9
277,5415,Não,45,Masculino,10
273,6623,Não,52,Masculino,10
274,1656,Sim,31,Masculino,10
271,5035,Não,45,Masculino,10
276,2780,Não,48,Feminino,9
284,5207,Não,50,Masculino,10
278,7884,Não,43,Feminino,4
282,1711,Não,43,Masculino,1
285,1303,Não,43,Feminino,10
280,2158,Não,55,Feminino,10
283,1651,Não,45,Masculino,10
281,4762,Não,57,Feminino,10
279,4405,Não,47,Feminino,10
288,2158,Não,55,Feminino,2
291,7520,Sim,23,Feminino,9
287,5814,Não,52,Masculino,9
286,8873,Não,41,Masculino,10
293,7816,Sim,19,Feminino,10
294,4101,Não,46,Feminino,9
292,9412,Não,41,Masculino,10
290,8736,Não,47,Masculino,10
289,4905,Não,40,Masculino,9
303,3967,Sim,18,Masculino,10
301,9104,Não,55,Masculino,9
295,6977,Sim,32,Masculino,10
297,2283,Sim,33,Masculino,10
298,5298,Sim,34,Masculino,9
302,7275,Sim,28,Feminino,9
296,4627,Sim,32,Masculino,9
300,9723,Não,44,Masculino,10
299,6722,Não,41,Masculino,10
313,9586,Não,41,Feminino,9
311,3128,Sim,30,Feminino,9
308,8903,Sim,35,Masculino,9
310,4535,Não,23,Masculino,10
312,5663,Não,47,Feminino,10
307,6518,Sim,33,Masculino,8
305,3149,Sim,18,Feminino,9
309,5632,Sim,21,Masculino,10
304,7393,Não,55,Masculino,10
306,4943,Não,27,Feminino,9
324,5506,Sim,31,Feminino,9
318,8940,Não,50,Feminino,10
317,2626,Não,42,Masculino,9
322,7251,Não,56,Masculino,10
314,2096,Não,57,Masculino,9
315,9809,Sim,29,Feminino,10
323,6953,Sim,33,Masculino,10
316,2782,Sim,29,Feminino,10
321,5906,Sim,34,Feminino,10
319,3254,Sim,38,Masculino,10
320,1982,Sim,40,Masculino,9
332,3561,Sim,29,Feminino,10
326,6931,Sim,34,Masculino,10
325,8376,Não,44,Masculino,9
328,7475,Sim,32,Feminino,9
329,6051,Não,41,Feminino,9
333,6695,Sim,23,Feminino,9
331,1100,Não,52,Masculino,10
327,8862,Não,51,Feminino,10
330,2278,Não,41,Masculino,10
338,4967,Não,52,Masculino,9
340,2334,Sim,29,Feminino,10
336,2131,Não,52,Masculino,9
339,4796,Não,30,Feminino,9
343,3299,Sim,27,Masculino,9
335,5462,Sim,32,Masculino,9
344,3495,Não,45,Masculino,10
334,8399,Não,36,Feminino,9
337,2502,Não,50,Feminino,9
342,6281,Sim,34,Feminino,9
345,9276,Não,44,Masculino,9
341,6678,Não,41,Masculino,10
354,4169,Sim,35,Feminino,10
348,3645,Não,43,Masculino,5
355,9259,Sim,31,Masculino,10
356,8769,Não,47,Feminino,9
352,8746,Não,47,Feminino,10
349,4045,Não,45,Feminino,4
347,2268,Não,41,Feminino,9
353,7724,Sim,35,Feminino,9
350,9907,Sim,28,Masculino,10
346,5983,Não,18,Feminino,9
351,1476,Sim,39,Masculino,9
358,6008,Não,30,Feminino,2
362,6885,Não,42,Feminino,7
359,7068,Não,39,Feminino,9
360,2078,Não,43,Feminino,6
363,5237,Não,41,Feminino,9
365,7412,Não,46,Masculino,10
361,6760,Não,56,Masculino,10
364,5198,Não,22,Feminino,9
357,7201,Não,41,Feminino,10
369,1596,Não,49,Feminino,7
366,1559,Não,43,Masculino,10
372,1361,Não,46,Masculino,10
371,9808,Não,47,Feminino,6
368,9044,Não,55,Feminino,9
376,2981,Não,42,Masculino,9
370,5580,Não,52,Feminino,10
367,5678,Não,44,Feminino,9
374,5136,Não,56,Masculino,9
373,4404,Não,27,Masculino,9
375,1378,Não,42,Feminino,10
388,5096,Não,57,Feminino,10
387,5320,Sim,34,Masculino,10
377,9878,Sim,18,Masculino,4
384,4582,Sim,26,Masculino,10
385,9691,Sim,18,Masculino,9
380,7959,Sim,30,Feminino,9
379,6683,Sim,40,Feminino,10
378,9555,Não,46,Feminino,9
383,3107,Sim,39,Feminino,9
382,6384,Sim,35,Feminino,10
386,4217,Sim,29,Feminino,5
381,1464,Não,41,Masculino,6
396,4057,Sim,40,Masculino,9
394,9712,Sim,31,Masculino,9
393,9319,Não,47,Feminino,9
392,4982,Sim,33,Masculino,9
389,4524,Sim,36,Masculino,1
390,3821,Não,47,Feminino,10
395,2891,Não,45,Masculino,10
391,1593,Não,42,Feminino,9
400,2337,Sim,37,Feminino,6
404,9001,Não,38,Feminino,10
397,1886,Não,44,Masculino,9
398,8039,Não,50,Masculino,10
402,4267,Sim,32,Feminino,9
401,7740,Não,44,Masculino,1
399,2406,Sim,30,Masculino,2
403,7399,Sim,20,Feminino,10
412,1565,Sim,34,Masculino,9
413,3855,Não,49,Feminino,9
415,2420,Sim,39,Masculino,10
405,5711,Sim,33,Feminino,9
408,8205,Sim,30,Masculino,9
414,9624,Sim,18,Masculino,9
409,5267,Não,49,Masculino,10
407,9618,Não,54,Feminino,10
410,8421,Sim,31,Feminino,10
406,7905,Não,50,Masculino,9
411,5200,Não,59,Masculino,10
422,2416,Sim,24,Masculino,9
420,3605,Não,54,Feminino,10
417,5732,Não,49,Masculino,9
424,7464,Não,42,Masculino,9
423,5587,Não,52,Feminino,9
419,5982,Sim,18,Feminino,9
416,7320,Não,52,Masculino,10
421,4662,Não,57,Feminino,10
418,7383,Não,61,Masculino,10
430,5179,Sim,30,Feminino,9
433,9496,Não,43,Masculino,9
426,4486,Sim,35,Masculino,3
428,6195,Não,49,Feminino,7
425,4316,Não,37,Feminino,10
431,7952,Sim,40,Feminino,9
429,4293,Não,43,Feminino,9
427,4209,Não,41,Feminino,10
434,5275,Não,39,Feminino,10
432,4878,Sim,36,Feminino,9
435,8253,Sim,38,Masculino,9
436,7101,Não,42,Feminino,9
437,2676,Não,52,Masculino,10
443,1696,Sim,33,Masculino,9
442,7574,Não,41,Feminino,10
440,4425,Sim,30,Feminino,9
444,1228,Não,41,Masculino,7
438,5392,Sim,27,Masculino,9
441,4119,Não,45,Feminino,9
439,9110,Não,42,Masculino,9
455,5771,Sim,40,Masculino,9
445,9591,Sim,39,Masculino,10
448,2745,Não,50,Feminino,10
454,3019,Não,42,Feminino,9
450,1494,Não,51,Feminino,10
446,7956,Não,28,Masculino,9
453,1433,Não,43,Feminino,9
449,4301,Sim,36,Feminino,9
447,7748,Não,46,Feminino,9
451,3212,Sim,37,Feminino,10
452,7422,Não,30,Masculino,9
458,3325,Não,45,Masculino,6
465,4788,Sim,35,Masculino,9
460,1235,Não,34,Feminino,10
462,5624,Não,44,Masculino,9
463,8950,Não,45,Feminino,10
466,5965,Sim,26,Feminino,10
457,7282,Sim,37,Masculino,10
467,3722,Não,51,Feminino,4
459,7852,Não,34,Feminino,10
456,6710,Não,52,Feminino,4
461,3814,Sim,28,Masculino,6
464,1126,Sim,29,Feminino,9
470,6235,Não,48,Feminino,9
468,4770,Sim,34,Feminino,10
474,2383,Não,48,Feminino,10
471,3039,Não,43,Feminino,10
475,6917,Não,45,Feminino,10
469,6371,Não,54,Feminino,10
472,6003,Não,48,Feminino,9
473,1172,Não,35,Masculino,9
481,5506,Sim,31,Feminino,9
478,9693,Não,48,Masculino,10
484,6285,Sim,18,Masculino,10
476,2967,Sim,31,Masculino,9
483,3332,Não,44,Feminino,9
479,7208,Não,42,Feminino,9
477,8015,Sim,33,Masculino,9
480,4160,Sim,36,Masculino,10
482,7315,Não,36,Feminino,9
492,8426,Não,26,Feminino,5
486,6607,Sim,24,Feminino,10
485,8778,Sim,35,Feminino,9
489,6595,Sim,24,Feminino,10
487,1695,Sim,35,Feminino,7
490,9619,Não,52,Feminino,10
488,1815,Sim,31,Masculino,9
491,9864,Sim,38,Feminino,10
497,2923,Sim,33,Feminino,10
496,5375,Não,30,Feminino,10
500,4355,Sim,37,Feminino,9
493,6286,Sim,32,Feminino,9
502,4287,Não,49,Feminino,10
494,5485,Não,47,Masculino,10
499,3261,Não,60,Feminino,10
501,3136,Sim,39,Masculino,9
498,2069,Não,42,Masculino,9
495,5355,Sim,34,Feminino,10
511,8588,Sim,25,Feminino,10
508,9986,Não,42,Feminino,9
505,3276,Sim,39,Masculino,9
507,9416,Sim,22,Masculino,10
503,1176,Não,45,Feminino,10
509,1537,Sim,26,Feminino,9
510,1468,Sim,33,Feminino,5
506,8201,Sim,28,Masculino,9
513,1861,Não,57,Masculino,10
512,8511,Não,37,Feminino,9
504,8387,Não,18,Masculino,9
518,5886,Sim,32,Feminino,10
514,7307,Não,47,Masculino,9
521,9597,Sim,40,Feminino,0
515,7857,Não,48,Feminino,9
516,7848,Sim,34,Feminino,4
522,8075,Sim,25,Masculino,9
517,5336,Sim,33,Masculino,9
520,7270,Não,39,Feminino,9
519,9538,Não,37,Feminino,10
527,2982,Não,52,Feminino,9
524,6046,Sim,35,Masculino,9
531,5938,Não,45,Feminino,10
526,5136,Não,56,Masculino,10
533,6636,Sim,40,Feminino,6
529,8303,Sim,33,Feminino,10
532,7801,Não,41,Feminino,10
523,6627,Não,68,Feminino,10
528,1380,Não,50,Masculino,10
525,8547,Não,37,Feminino,9
530,1601,Não,25,Masculino,10
537,2385,Sim,39,Feminino,9
538,2694,Sim,18,Masculino,9
535,6350,Não,41,Feminino,10
541,5555,Não,56,Masculino,9
539,3793,Sim,32,Masculino,9
534,2417,Não,47,Feminino,10
536,5454,Não,22,Masculino,9
540,8116,Sim,35,Feminino,10
542,5445,Não,43,Masculino,10
543,7187,Não,25,Masculino,10
546,5430,Sim,35,Masculino,9
548,1425,Não,42,Feminino,10
550,8465,Não,41,Masculino,9
549,2229,Não,47,Feminino,10
545,9406,Sim,25,Masculino,10
551,1351,Não,55,Feminino,10
544,6728,Não,63,Masculino,9
547,6377,Não,43,Masculino,10
552,8170,Não,41,Masculino,10
559,1298,Sim,36,Masculino,10
554,7188,Sim,18,Masculino,10
557,4400,Sim,39,Feminino,4
561,5988,Não,42,Masculino,10
553,3481,Sim,35,Masculino,10
555,1541,Sim,19,Feminino,9
563,5885,Não,31,Masculino,1
564,5587,Não,52,Feminino,10
556,4532,Não,44,Feminino,9
560,9014,Sim,35,Feminino,6
562,6191,Sim,35,Feminino,7
558,7876,Sim,21,Feminino,9
573,5939,Não,38,Feminino,6
571,1424,Não,45,Masculino,10
565,8263,Não,44,Masculino,2
575,4907,Não,21,Feminino,10
576,8330,Sim,27,Feminino,10
567,3119,Sim,18,Masculino,0
568,4628,Sim,18,Feminino,10
574,9894,Sim,36,Feminino,10
569,7761,Não,52,Feminino,10
572,9542,Não,46,Feminino,9
566,5125,Não,47,Masculino,9
570,9056,Não,55,Feminino,9
579,4872,Sim,33,Masculino,9
577,5205,Sim,34,Feminino,10
582,5809,Não,39,Masculino,9
578,3833,Não,25,Feminino,9
583,9841,Sim,39,Feminino,10
581,5879,Não,38,Masculino,9
580,7835,Sim,32,Masculino,10
584,5225,Não,48,Feminino,9
589,8448,Não,45,Masculino,10
586,7736,Sim,31,Feminino,9
587,6402,Sim,34,Masculino,10
585,7177,Sim,40,Feminino,10
591,1502,Não,20,Feminino,9
592,1380,Não,50,Masculino,10
590,7587,Sim,18,Masculino,10
588,4092,Sim,28,Masculino,6
600,5964,Não,19,Feminino,9
596,4660,Não,49,Masculino,10
597,8699,Sim,28,Feminino,5
593,1857,Sim,35,Masculino,9
601,2231,Não,22,Feminino,9
599,4502,Sim,18,Feminino,10
594,4329,Não,38,Masculino,9
598,7417,Não,42,Feminino,10
595,2744,Sim,30,Masculino,9
602,1650,Não,37,Feminino,9
608,3029,Sim,30,Feminino,10
607,8499,Não,42,Masculino,9
603,4365,Não,37,Masculino,3
605,6236,Não,46,Feminino,9
606,8806,Não,52,Masculino,10
609,5822,Não,41,Masculino,9
604,1711,Não,43,Masculino,9
611,8060,Sim,27,Masculino,9
617,2489,Não,51,Feminino,10
618,5041,Sim,29,Masculino,10
613,4909,Não,52,Feminino,10
610,1556,Sim,37,Feminino,6
616,8104,Não,42,Masculino,9
614,2515,Não,46,Feminino,9
615,5279,Não,40,Feminino,10
612,2423,Não,48,Masculino,9
625,7298,Sim,36,Masculino,9
623,6786,Sim,27,Masculino,9
630,9242,Não,60,Masculino,9
619,8570,Não,23,Masculino,10
624,3144,Não,27,Feminino,9
628,1882,Não,41,Feminino,7
629,1169,Sim,36,Masculino,10
626,8966,Não,50,Feminino,8
621,9457,Não,21,Feminino,9
620,5454,Não,22,Masculino,10
627,8154,Não,36,Masculino,10
622,4926,Sim,38,Masculino,9
635,4757,Não,58,Masculino,10
633,8293,Não,49,Feminino,9
634,9103,Não,31,Feminino,10
637,2095,Sim,40,Feminino,10
636,6861,Sim,33,Masculino,10
638,8577,Não,45,Masculino,9
632,7304,Sim,33,Masculino,9
631,7840,Sim,22,Masculino,10
644,9736,Não,45,Masculino,9
642,7151,Sim,25,Feminino,10
646,2533,Não,36,Masculino,10
639,4636,Sim,36,Feminino,10
645,2756,Não,45,Masculino,9
647,4744,Não,43,Feminino,9
640,7901,Não,52,Feminino,9
643,6406,Sim,34,Masculino,10
641,3971,Sim,19,Masculino,9
653,5259,Não,26,Masculino,9
651,2294,Sim,32,Feminino,10
648,3309,Não,44,Feminino,3
654,1977,Sim,37,Feminino,9
649,6903,Não,57,Feminino,9
652,3651,Sim,21,Masculino,9
655,9084,Não,44,Feminino,9
650,1532,Sim,38,Masculino,10
662,5087,Sim,36,Feminino,9
663,1330,Não,50,Feminino,9
657,6178,Não,51,Feminino,10
659,7068,Não,39,Feminino,9
665,6162,Não,34,Masculino,10
658,6887,Sim,40,Feminino,9
661,9598,Não,41,Masculino,9
656,4450,Não,43,Masculino,10
660,6471,Sim,27,Feminino,10
666,2721,Não,51,Feminino,10
664,4130,Não,52,Masculino,10
677,8991,Não,31,Masculino,6
671,6428,Sim,32,Feminino,9
667,8149,Não,48,Feminino,9
675,3456,Sim,39,Masculino,10
674,7117,Não,45,Masculino,9
672,5035,Não,45,Masculino,10
669,2099,Não,59,Feminino,9
676,8970,Não,44,Feminino,10
668,2910,Sim,35,Masculino,10
673,2471,Não,47,Feminino,9
670,1715,Sim,35,Feminino,10
681,5422,Não,50,Feminino,10
684,2649,Sim,40,Masculino,9
679,2901,Não,49,Masculino,9
685,5518,Não,51,Masculino,9
680,5400,Não,36,Masculino,9
688,5731,Sim,35,Masculino,10
682,4575,Sim,30,Masculino,10
683,4167,Sim,34,Masculino,2
686,4071,Sim,31,Feminino,10
678,4343,Não,39,Feminino,10
687,7583,Não,44,Feminino,6
692,2126,Não,41,Feminino,10
695,2885,Não,39,Feminino,7
696,2109,Sim,23,Masculino,8
690,2857,Não,47,Feminino,9
691,1396,Não,47,Feminino,10
689,9737,Sim,35,Feminino,10
693,6448,Sim,28,Feminino,9
697,8457,Não,42,Feminino,10
698,6625,Sim,21,Feminino,10
694,7930,Sim,30,Feminino,3
706,7337,Sim,30,Feminino,9
704,5571,Sim,22,Feminino,10
703,9821,Não,48,Masculino,10
705,1562,Não,18,Feminino,10
699,2939,Não,54,Feminino,3
701,8079,Sim,31,Feminino,9
707,6672,Não,44,Feminino,10
702,3717,Não,18,Masculino,3
708,1772,Não,50,Feminino,10
709,3162,Sim,32,Feminino,10
700,3769,Sim,29,Feminino,10
717,7518,Não,54,Masculino,9
713,9465,Não,44,Masculino,10
715,8135,Não,23,Feminino,8
716,3912,Não,46,Feminino,2
720,8470,Não,50,Masculino,6
719,5583,Não,54,Masculino,10
712,2984,Não,41,Feminino,10
718,9679,Sim,35,Masculino,10
710,2546,Sim,34,Feminino,10
711,2927,Não,42,Masculino,9
714,4232,Sim,40,Masculino,9
725,9435,Não,50,Masculino,9
726,2620,Não,32,Masculino,10
724,6198,Sim,38,Feminino,10
727,2198,Sim,29,Feminino,10
728,1501,Não,43,Masculino,10
721,4935,Não,41,Masculino,6
722,3775,Sim,30,Feminino,9
723,7205,Sim,40,Feminino,10
740,5145,Sim,35,Feminino,9
732,3983,Não,55,Masculino,9
735,9347,Não,46,Masculino,9
739,1130,Não,27,Masculino,9
734,8488,Não,48,Feminino,10
729,5227,Não,41,Masculino,10
738,4084,Não,37,Feminino,10
730,4194,Não,32,Masculino,10
737,6064,Sim,37,Feminino,10
736,2150,Sim,37,Feminino,10
731,8981,Não,53,Masculino,10
733,2965,Não,49,Masculino,9
743,5292,Não,43,Masculino,10
741,2933,Não,55,Feminino,10
747,1141,Não,47,Feminino,9
749,7808,Não,53,Feminino,10
745,1260,Sim,34,Masculino,10
744,8355,Não,45,Masculino,9
746,5714,Sim,21,Feminino,10
748,4920,Não,35,Feminino,9
742,4942,Não,55,Feminino,9
752,4348,Não,34,Feminino,9
755,9619,Não,52,Feminino,9
758,3503,Não,46,Masculino,7
754,5442,Não,44,Feminino,10
757,7739,Não,50,Feminino,5
759,7050,Sim,29,Masculino,10
751,9600,Não,54,Feminino,10
750,9367,Não,56,Feminino,9
756,9555,Não,46,Feminino,7
753,1226,Não,49,Feminino,10
764,2700,Não,35,Feminino,9
763,1899,Não,41,Feminino,10
761,4004,Sim,29,Feminino,9
760,3442,Sim,31,Masculino,9
766,7836,Sim,38,Masculino,10
770,4641,Sim,19,Masculino,10
769,8621,Não,49,Masculino,10
768,9390,Não,47,Feminino,10
762,4450,Não,43,Masculino,9
765,9645,Não,29,Feminino,10
767,1366,Não,29,Feminino,9
776,9711,Não,23,Feminino,9
779,4901,Não,47,Feminino,10
773,3046,Não,44,Feminino,10
774,8195,Não,40,Feminino,9
777,7055,Sim,31,Feminino,10
772,9735,Não,34,Masculino,10
771,9797,Não,48,Feminino,9
775,2003,Não,47,Masculino,10
780,5304,Não,46,Masculino,9
778,7794,Sim,25,Masculino,10
790,8675,Sim,20,Masculino,10
781,1573,Não,55,Feminino,10
786,8746,Não,47,Feminino,8
785,8156,Não,34,Masculino,9
788,4494,Não,43,Feminino,9
789,1211,Sim,27,Masculino,10
784,2574,Sim,32,Masculino,10
792,9598,Não,41,Masculino,10
787,5651,Não,18,Masculino,10
791,7430,Sim,35,Feminino,9
783,3504,Sim,35,Masculino,9
782,8727,Não,51,Feminino,10
797,1689,Sim,19,Masculino,9
795,7771,Sim,29,Feminino,10
802,8509,Não,39,Masculino,9
801,4448,Não,55,Masculino,9
794,1032,Sim,39,Feminino,10
796,1633,Não,38,Feminino,10
799,4834,Não,19,Feminino,9
803,6746,Sim,39,Feminino,9
