ID compra,Unidade,Cidade,Data,Horário,Categoria do produto,Preço unitário,Quantidade,Método de pagamento
82,Parque das nações,Santo André,1/12/2022,10:30,Ferramentas e construção,"102,9",5,PIX
83,Parque das nações,Santo André,1/12/2022,18:31,Papelaria e escritório,"30,9",2,PIX
89,Oswaldo Cruz,São Caetano do Sul,1/12/2022,13:05,Casa e limpeza,"17,9",3,Carteira digital
85,Paulicéia,São Bernardo do Campo,1/12/2022,14:23,Alimentos e bebidas,"62,9",1,Cartão
90,Oswaldo Cruz,São Caetano do Sul,1/12/2022,13:40,Casa e limpeza,"168,9",5,PIX
80,Oswaldo Cruz,São Caetano do Sul,1/12/2022,9:53,Beleza e cuidados pessoais,"202,9",2,PIX
87,Paulicéia,São Bernardo do Campo,1/12/2022,19:43,Alimentos e bebidas,"75,9",1,Dinheiro
81,Oswaldo Cruz,São Caetano do Sul,1/12/2022,12:01,Alimentos e bebidas,"68,9",4,PIX
84,Paulicéia,São Bernardo do Campo,1/12/2022,18:50,Alimentos e bebidas,"78,9",2,PIX
86,Oswaldo Cruz,São Caetano do Sul,1/12/2022,19:45,Beleza e cuidados pessoais,"164,9",1,Dinheiro
97,Paulicéia,São Bernardo do Campo,1/13/2022,18:53,Alimentos e bebidas,"54,9",3,PIX
93,Oswaldo Cruz,São Caetano do Sul,1/13/2022,16:25,Eletrônicos,"5873,9",1,Cartão
99,Parque das nações,Santo André,1/13/2022,19:48,Beleza e cuidados pessoais,"214,9",1,PIX
94,Paulicéia,São Bernardo do Campo,1/13/2022,13:24,Beleza e cuidados pessoais,"114,9",1,Cartão
98,Oswaldo Cruz,São Caetano do Sul,1/13/2022,18:21,Ferramentas e construção,"87,9",4,Cartão
96,Parque das nações,Santo André,1/13/2022,17:26,Alimentos e bebidas,"48,9",3,Cartão
92,Oswaldo Cruz,São Caetano do Sul,1/13/2022,16:28,Ferramentas e construção,"52,9",2,Carteira digital
91,Oswaldo Cruz,São Caetano do Sul,1/13/2022,9:08,Casa e limpeza,"150,9",1,PIX
95,Paulicéia,São Bernardo do Campo,1/13/2022,16:11,Beleza e cuidados pessoais,"240,9",3,Cartão
106,Parque das nações,Santo André,1/14/2022,14:05,Alimentos e bebidas,92,4,PIX
107,Paulicéia,São Bernardo do Campo,1/14/2022,11:21,Papelaria e escritório,"49,9",4,Cartão
108,Parque das nações,Santo André,1/14/2022,14:30,Livros,"87,9",5,Cartão
102,Paulicéia,São Bernardo do Campo,1/14/2022,18:21,Papelaria e escritório,"45,9",5,Cartão
101,Oswaldo Cruz,São Caetano do Sul,1/14/2022,16:49,Beleza e cuidados pessoais,"242,9",4,PIX
105,Parque das nações,Santo André,1/14/2022,17:58,Beleza e cuidados pessoais,"235,9",3,Carteira digital
111,Paulicéia,São Bernardo do Campo,1/14/2022,13:38,Alimentos e bebidas,"34,9",2,Cartão
109,Paulicéia,São Bernardo do Campo,1/14/2022,13:46,Beleza e cuidados pessoais,"53,9",2,Carteira digital
103,Parque das nações,Santo André,1/14/2022,16:56,Livros,"108,9",4,Cartão
110,Oswaldo Cruz,São Caetano do Sul,1/14/2022,17:04,Eletrônicos,"6853,9",4,Carteira digital
104,Oswaldo Cruz,São Caetano do Sul,1/14/2022,10:35,Alimentos e bebidas,"99,9",3,Cartão
100,Paulicéia,São Bernardo do Campo,1/14/2022,12:59,Eletrônicos,"2251,9",1,PIX
120,Oswaldo Cruz,São Caetano do Sul,1/15/2022,19:53,Eletrônicos,"1684,9",3,Cartão
114,Paulicéia,São Bernardo do Campo,1/15/2022,18:44,Eletrônicos,"7316,9",4,PIX
116,Oswaldo Cruz,São Caetano do Sul,1/15/2022,16:03,Alimentos e bebidas,"7,9",4,Cartão
118,Parque das nações,Santo André,1/15/2022,9:22,Papelaria e escritório,"18,9",3,Cartão
119,Oswaldo Cruz,São Caetano do Sul,1/15/2022,17:49,Papelaria e escritório,"2,9",4,PIX
121,Parque das nações,Santo André,1/15/2022,11:59,Eletrônicos,"6422,9",2,Cartão
117,Oswaldo Cruz,São Caetano do Sul,1/15/2022,16:39,Casa e limpeza,"117,9",5,Cartão
113,Oswaldo Cruz,São Caetano do Sul,1/15/2022,16:46,Casa e limpeza,"40,9",4,Cartão
115,Parque das nações,Santo André,1/15/2022,10:03,Beleza e cuidados pessoais,"63,9",5,PIX
112,Parque das nações,Santo André,1/15/2022,12:28,Beleza e cuidados pessoais,"138,9",5,PIX
131,Paulicéia,São Bernardo do Campo,1/17/2022,11:40,Casa e limpeza,"84,9",5,Dinheiro
127,Parque das nações,Santo André,1/17/2022,18:55,Alimentos e bebidas,"65,9",1,Cartão
126,Parque das nações,Santo André,1/17/2022,18:25,Ferramentas e construção,"126,9",1,Cartão
128,Oswaldo Cruz,São Caetano do Sul,1/17/2022,18:29,Alimentos e bebidas,"60,9",4,Cartão
125,Parque das nações,Santo André,1/17/2022,10:15,Papelaria e escritório,"7,9",4,Cartão
122,Parque das nações,Santo André,1/17/2022,16:33,Casa e limpeza,"98,9",4,Cartão
129,Parque das nações,Santo André,1/17/2022,18:59,Alimentos e bebidas,61,3,PIX
124,Oswaldo Cruz,São Caetano do Sul,1/17/2022,15:35,Beleza e cuidados pessoais,"204,9",1,Cartão
123,Paulicéia,São Bernardo do Campo,1/17/2022,19:04,Casa e limpeza,"66,9",3,Cartão
130,Oswaldo Cruz,São Caetano do Sul,1/17/2022,17:32,Eletrônicos,"7581,9",2,PIX
133,Paulicéia,São Bernardo do Campo,1/18/2022,13:31,Casa e limpeza,"198,9",3,PIX
140,Paulicéia,São Bernardo do Campo,1/18/2022,17:09,Beleza e cuidados pessoais,"20,9",1,Carteira digital
137,Parque das nações,Santo André,1/18/2022,17:53,Papelaria e escritório,"35,9",2,PIX
132,Parque das nações,Santo André,1/18/2022,10:54,Eletrônicos,"7708,9",1,Cartão
134,Paulicéia,São Bernardo do Campo,1/18/2022,18:54,Beleza e cuidados pessoais,"199,9",4,Cartão
139,Paulicéia,São Bernardo do Campo,1/18/2022,19:40,Casa e limpeza,"174,9",4,Carteira digital
135,Oswaldo Cruz,São Caetano do Sul,1/18/2022,13:30,Alimentos e bebidas,"23,9",4,PIX
136,Oswaldo Cruz,São Caetano do Sul,1/18/2022,12:36,Papelaria e escritório,"36,9",5,PIX
138,Paulicéia,São Bernardo do Campo,1/18/2022,12:37,Alimentos e bebidas,"73,9",2,PIX
143,Paulicéia,São Bernardo do Campo,1/19/2022,13:39,Papelaria e escritório,"43,9",2,PIX
147,Parque das nações,Santo André,1/19/2022,12:23,Alimentos e bebidas,"61,9",5,Dinheiro
144,Parque das nações,Santo André,1/19/2022,12:36,Eletrônicos,"340,9",4,PIX
145,Oswaldo Cruz,São Caetano do Sul,1/19/2022,17:37,Casa e limpeza,"187,9",4,PIX
149,Parque das nações,Santo André,1/19/2022,18:02,Eletrônicos,"7640,9",2,PIX
141,Parque das nações,Santo André,1/19/2022,17:02,Alimentos e bebidas,"24,9",1,Carteira digital
142,Paulicéia,São Bernardo do Campo,1/19/2022,13:47,Alimentos e bebidas,"52,9",5,Carteira digital
146,Oswaldo Cruz,São Caetano do Sul,1/19/2022,17:29,Eletrônicos,"7581,9",1,Cartão
148,Paulicéia,São Bernardo do Campo,1/19/2022,13:02,Beleza e cuidados pessoais,"239,9",4,PIX
157,Paulicéia,São Bernardo do Campo,1/20/2022,18:27,Alimentos e bebidas,26,1,Carteira digital
156,Parque das nações,Santo André,1/20/2022,15:58,Beleza e cuidados pessoais,"62,9",4,Dinheiro
155,Paulicéia,São Bernardo do Campo,1/20/2022,13:11,Casa e limpeza,"76,9",5,Carteira digital
150,Oswaldo Cruz,São Caetano do Sul,1/20/2022,16:42,Alimentos e bebidas,"11,9",2,Carteira digital
158,Parque das nações,Santo André,1/20/2022,13:35,Eletrônicos,4531,4,PIX
151,Oswaldo Cruz,São Caetano do Sul,1/20/2022,13:53,Casa e limpeza,"43,9",3,Cartão
153,Parque das nações,Santo André,1/20/2022,9:35,Alimentos e bebidas,"60,9",4,Dinheiro
154,Parque das nações,Santo André,1/20/2022,19:39,Beleza e cuidados pessoais,"78,9",2,Cartão
152,Parque das nações,Santo André,1/20/2022,16:21,Alimentos e bebidas,18,3,PIX
167,Paulicéia,São Bernardo do Campo,1/21/2022,16:31,Eletrônicos,"3504,9",3,Dinheiro
166,Oswaldo Cruz,São Caetano do Sul,1/21/2022,13:28,Alimentos e bebidas,"25,9",3,Cartão
162,Paulicéia,São Bernardo do Campo,1/21/2022,16:40,Alimentos e bebidas,"7,9",3,PIX
168,Oswaldo Cruz,São Caetano do Sul,1/21/2022,13:02,Casa e limpeza,"163,9",1,PIX
165,Paulicéia,São Bernardo do Campo,1/21/2022,11:55,Livros,"149,9",2,PIX
159,Oswaldo Cruz,São Caetano do Sul,1/21/2022,17:15,Beleza e cuidados pessoais,"171,9",5,Cartão
164,Oswaldo Cruz,São Caetano do Sul,1/21/2022,17:53,Eletrônicos,3617,2,Dinheiro
160,Paulicéia,São Bernardo do Campo,1/21/2022,16:28,Livros,"59,9",1,Cartão
163,Oswaldo Cruz,São Caetano do Sul,1/21/2022,13:34,Eletrônicos,3373,5,Carteira digital
161,Paulicéia,São Bernardo do Campo,1/21/2022,19:52,Alimentos e bebidas,"90,9",4,PIX
174,Parque das nações,Santo André,1/22/2022,12:08,Alimentos e bebidas,"22,9",2,Dinheiro
173,Oswaldo Cruz,São Caetano do Sul,1/22/2022,16:38,Eletrônicos,"2822,9",4,Cartão
169,Paulicéia,São Bernardo do Campo,1/22/2022,18:11,Livros,101,2,Cartão
170,Paulicéia,São Bernardo do Campo,1/22/2022,14:13,Casa e limpeza,88,1,Dinheiro
175,Oswaldo Cruz,São Caetano do Sul,1/22/2022,14:36,Casa e limpeza,"12,9",2,Cartão
171,Parque das nações,Santo André,1/22/2022,12:15,Beleza e cuidados pessoais,"134,9",1,Carteira digital
172,Parque das nações,Santo André,1/22/2022,12:49,Alimentos e bebidas,"14,9",4,PIX
176,Oswaldo Cruz,São Caetano do Sul,1/22/2022,13:04,Casa e limpeza,"123,9",2,Cartão
181,Oswaldo Cruz,São Caetano do Sul,1/24/2022,18:53,Eletrônicos,"3063,9",2,Dinheiro
177,Paulicéia,São Bernardo do Campo,1/24/2022,13:48,Livros,"29,9",1,PIX
183,Oswaldo Cruz,São Caetano do Sul,1/24/2022,13:34,Alimentos e bebidas,"39,9",4,PIX
180,Paulicéia,São Bernardo do Campo,1/24/2022,9:36,Eletrônicos,"5682,9",1,Cartão
182,Oswaldo Cruz,São Caetano do Sul,1/24/2022,13:47,Casa e limpeza,72,3,Cartão
178,Oswaldo Cruz,São Caetano do Sul,1/24/2022,17:32,Alimentos e bebidas,"40,9",5,PIX
185,Oswaldo Cruz,São Caetano do Sul,1/24/2022,16:39,Papelaria e escritório,"4,9",2,Dinheiro
184,Paulicéia,São Bernardo do Campo,1/24/2022,12:00,Alimentos e bebidas,"27,9",1,Cartão
179,Paulicéia,São Bernardo do Campo,1/24/2022,12:28,Casa e limpeza,"182,9",2,Cartão
186,Parque das nações,Santo André,1/24/2022,12:22,Casa e limpeza,"23,9",5,Cartão
188,Paulicéia,São Bernardo do Campo,1/25/2022,19:30,Beleza e cuidados pessoais,"59,9",1,PIX
196,Parque das nações,Santo André,1/25/2022,10:13,Beleza e cuidados pessoais,"62,9",2,Carteira digital
194,Paulicéia,São Bernardo do Campo,1/25/2022,18:53,Beleza e cuidados pessoais,"161,9",4,PIX
195,Oswaldo Cruz,São Caetano do Sul,1/25/2022,19:42,Eletrônicos,"6088,9",2,Cartão
187,Paulicéia,São Bernardo do Campo,1/25/2022,16:37,Eletrônicos,7225,3,PIX
192,Parque das nações,Santo André,1/25/2022,13:27,Alimentos e bebidas,"60,9",5,PIX
189,Paulicéia,São Bernardo do Campo,1/25/2022,11:51,Alimentos e bebidas,"15,9",2,Dinheiro
191,Paulicéia,São Bernardo do Campo,1/25/2022,18:12,Eletrônicos,"3474,9",5,Cartão
197,Oswaldo Cruz,São Caetano do Sul,1/25/2022,18:13,Casa e limpeza,"96,9",5,Cartão
190,Parque das nações,Santo André,1/25/2022,17:04,Alimentos e bebidas,"61,9",4,PIX
198,Oswaldo Cruz,São Caetano do Sul,1/25/2022,19:18,Eletrônicos,"2348,9",1,PIX
193,Parque das nações,Santo André,1/25/2022,10:38,Alimentos e bebidas,"86,9",4,PIX
199,Parque das nações,Santo André,1/26/2022,13:00,Papelaria e escritório,"2,9",5,Cartão
202,Paulicéia,São Bernardo do Campo,1/26/2022,16:44,Eletrônicos,"7497,9",3,PIX
205,Paulicéia,São Bernardo do Campo,1/26/2022,11:26,Alimentos e bebidas,"23,9",1,PIX
207,Oswaldo Cruz,São Caetano do Sul,1/26/2022,14:25,Beleza e cuidados pessoais,"201,9",1,Cartão
200,Oswaldo Cruz,São Caetano do Sul,1/26/2022,10:21,Beleza e cuidados pessoais,"40,9",3,Cartão
201,Paulicéia,São Bernardo do Campo,1/26/2022,12:41,Casa e limpeza,"94,9",5,PIX
206,Oswaldo Cruz,São Caetano do Sul,1/26/2022,13:32,Papelaria e escritório,"48,9",3,Cartão
204,Oswaldo Cruz,São Caetano do Sul,1/26/2022,14:48,Casa e limpeza,"10,9",4,PIX
203,Parque das nações,Santo André,1/26/2022,9:11,Papelaria e escritório,"11,9",1,PIX
208,Paulicéia,São Bernardo do Campo,1/26/2022,16:44,Papelaria e escritório,"30,9",5,Carteira digital
212,Oswaldo Cruz,São Caetano do Sul,1/27/2022,18:09,Eletrônicos,"5506,9",4,Cartão
211,Oswaldo Cruz,São Caetano do Sul,1/27/2022,13:56,Beleza e cuidados pessoais,"89,9",1,Cartão
220,Oswaldo Cruz,São Caetano do Sul,1/27/2022,16:25,Casa e limpeza,"193,9",4,PIX
215,Paulicéia,São Bernardo do Campo,1/27/2022,17:14,Beleza e cuidados pessoais,"194,9",4,PIX
213,Paulicéia,São Bernardo do Campo,1/27/2022,19:53,Beleza e cuidados pessoais,"200,9",2,Cartão
210,Paulicéia,São Bernardo do Campo,1/27/2022,13:51,Eletrônicos,"3650,9",4,Cartão
217,Oswaldo Cruz,São Caetano do Sul,1/27/2022,9:15,Papelaria e escritório,"12,9",4,Cartão
216,Paulicéia,São Bernardo do Campo,1/27/2022,11:27,Alimentos e bebidas,"55,9",4,Cartão
209,Parque das nações,Santo André,1/27/2022,18:57,Casa e limpeza,"123,9",4,Cartão
219,Parque das nações,Santo André,1/27/2022,16:21,Ferramentas e construção,"272,9",4,Cartão
218,Parque das nações,Santo André,1/27/2022,18:48,Alimentos e bebidas,"91,9",4,Cartão
214,Oswaldo Cruz,São Caetano do Sul,1/27/2022,16:56,Casa e limpeza,"40,9",4,PIX
224,Paulicéia,São Bernardo do Campo,1/28/2022,15:14,Casa e limpeza,"72,9",4,PIX
228,Parque das nações,Santo André,1/28/2022,9:46,Papelaria e escritório,"45,9",3,Carteira digital
225,Oswaldo Cruz,São Caetano do Sul,1/28/2022,12:20,Ferramentas e construção,"86,9",2,PIX
227,Parque das nações,Santo André,1/28/2022,19:53,Beleza e cuidados pessoais,"129,9",4,PIX
229,Oswaldo Cruz,São Caetano do Sul,1/28/2022,9:55,Alimentos e bebidas,"89,9",3,PIX
222,Parque das nações,Santo André,1/28/2022,13:26,Alimentos e bebidas,"61,9",2,PIX
223,Parque das nações,Santo André,1/28/2022,18:43,Casa e limpeza,"8,9",5,PIX
226,Parque das nações,Santo André,1/28/2022,17:34,Eletrônicos,"3791,9",1,Carteira digital
221,Parque das nações,Santo André,1/28/2022,18:16,Beleza e cuidados pessoais,147,3,Cartão
240,Parque das nações,Santo André,1/29/2022,16:47,Ferramentas e construção,"289,9",5,Carteira digital
234,Oswaldo Cruz,São Caetano do Sul,1/29/2022,15:29,Eletrônicos,"7094,9",4,PIX
232,Paulicéia,São Bernardo do Campo,1/29/2022,17:53,Ferramentas e construção,"59,9",1,Cartão
241,Parque das nações,Santo André,1/29/2022,19:24,Eletrônicos,"584,9",2,Cartão
233,Paulicéia,São Bernardo do Campo,1/29/2022,10:53,Ferramentas e construção,"234,9",4,PIX
238,Oswaldo Cruz,São Caetano do Sul,1/29/2022,16:44,Casa e limpeza,"175,9",3,PIX
236,Oswaldo Cruz,São Caetano do Sul,1/29/2022,17:00,Eletrônicos,"215,9",5,PIX
230,Parque das nações,Santo André,1/29/2022,19:40,Papelaria e escritório,"17,9",4,Carteira digital
231,Oswaldo Cruz,São Caetano do Sul,1/29/2022,13:17,Alimentos e bebidas,"28,9",4,Cartão
237,Paulicéia,São Bernardo do Campo,1/29/2022,13:51,Livros,"84,9",5,Cartão
235,Parque das nações,Santo André,1/29/2022,19:43,Beleza e cuidados pessoais,"214,9",5,Carteira digital
239,Parque das nações,Santo André,1/29/2022,18:01,Casa e limpeza,"98,9",1,PIX
245,Oswaldo Cruz,São Caetano do Sul,1/31/2022,18:06,Papelaria e escritório,"7,9",4,PIX
246,Paulicéia,São Bernardo do Campo,1/31/2022,16:47,Beleza e cuidados pessoais,"81,9",2,PIX
244,Parque das nações,Santo André,1/31/2022,13:52,Papelaria e escritório,"24,9",5,PIX
249,Paulicéia,São Bernardo do Campo,1/31/2022,14:26,Papelaria e escritório,"8,9",1,PIX
250,Parque das nações,Santo André,1/31/2022,13:51,Alimentos e bebidas,"12,9",3,Cartão
252,Oswaldo Cruz,São Caetano do Sul,1/31/2022,18:51,Ferramentas e construção,203,1,PIX
251,Paulicéia,São Bernardo do Campo,1/31/2022,17:33,Beleza e cuidados pessoais,"21,9",4,Dinheiro
247,Paulicéia,São Bernardo do Campo,1/31/2022,12:18,Alimentos e bebidas,"27,9",1,PIX
248,Paulicéia,São Bernardo do Campo,1/31/2022,10:17,Beleza e cuidados pessoais,"126,9",5,Dinheiro
242,Oswaldo Cruz,São Caetano do Sul,1/31/2022,18:01,Papelaria e escritório,"28,9",4,PIX
243,Parque das nações,Santo André,1/31/2022,12:51,Eletrônicos,"4409,9",5,Cartão
258,Parque das nações,Santo André,2/1/2022,17:59,Alimentos e bebidas,"72,9",3,PIX
254,Oswaldo Cruz,São Caetano do Sul,2/1/2022,16:07,Beleza e cuidados pessoais,"108,9",4,Cartão
257,Paulicéia,São Bernardo do Campo,2/1/2022,15:23,Ferramentas e construção,164,4,Cartão
259,Parque das nações,Santo André,2/1/2022,16:38,Ferramentas e construção,"66,9",2,Cartão
255,Paulicéia,São Bernardo do Campo,2/1/2022,14:21,Papelaria e escritório,22,4,PIX
253,Parque das nações,Santo André,2/1/2022,17:45,Eletrônicos,"5915,9",3,PIX
260,Oswaldo Cruz,São Caetano do Sul,2/1/2022,12:40,Alimentos e bebidas,"92,9",2,PIX
256,Paulicéia,São Bernardo do Campo,2/1/2022,19:59,Eletrônicos,"7901,9",1,Carteira digital
267,Parque das nações,Santo André,2/2/2022,17:40,Eletrônicos,"1145,9",3,Cartão
263,Paulicéia,São Bernardo do Campo,2/2/2022,16:22,Beleza e cuidados pessoais,"72,9",2,Cartão
261,Parque das nações,Santo André,2/2/2022,18:03,Beleza e cuidados pessoais,"245,9",1,Cartão
264,Paulicéia,São Bernardo do Campo,2/2/2022,13:49,Casa e limpeza,"155,9",1,PIX
266,Paulicéia,São Bernardo do Campo,2/2/2022,17:23,Beleza e cuidados pessoais,"102,9",5,Cartão
268,Parque das nações,Santo André,2/2/2022,15:12,Alimentos e bebidas,"53,9",4,PIX
